entity_type,entity_id,joint_label,min_angle_deg,max_angle_deg,span_deg,open_tick,closed_tick,open_angle_deg,closed_angle_deg
sensor,0,Index Abduction,80.86,87.28,6.420000000000002,,,,
sensor,1,Index DIP,118.56,229.48,110.91999999999999,,,,
sensor,2,Index PIP,34.54,135.7,101.16,,,,
sensor,3,Index MCP,68.82,90.53,21.710000000000008,,,,
sensor,4,Thumb DIP,98.26,212.78,114.52,,,,
sensor,5,Thumb MCP,302.08,313.77,11.689999999999998,,,,
sensor,6,Thumb CMC,40.17,63.63,23.46,,,,
motor,7,Index DIP,0.0,12.263868065967017,12.263868065967017,2943.0,1609.0,12.263868065967017,0.0
motor,8,Index Abduction,-0.0,90.0,90.0,1758.0,1542.0,-0.0,90.0
motor,9,Index MCP,-0.0,80.0,80.0,1376.0,715.0,-0.0,80.0
motor,12,Thumb CMC,-0.0,145.0,145.0,1177.0,574.0,-0.0,145.0
motor,13,Thumb DIP,-0.0,90.0,90.0,3163.0,2053.0,-0.0,90.0
motor,14,Thumb MCP,-19.412724306688418,25.0,44.41272430668842,2365.0,1752.0,25.0,-19.412724306688418
joint_pair,S0_M8,Index Abduction,80.86,87.28,6.420000000000002,1758.0,1542.0,-0.0,90.0
joint_pair,S3_M9,Index MCP,68.82,90.53,21.710000000000008,1376.0,715.0,-0.0,80.0
joint_pair,S2_M7,Index PIP,34.54,135.7,101.16,2943.0,1609.0,0.0,12.263868065967017
joint_pair,S1_M7,Index DIP,118.56,229.48,110.91999999999999,2943.0,1609.0,0.0,12.263868065967017
joint_pair,S6_M12,Thumb CMC,40.17,63.63,23.46,1177.0,574.0,-0.0,145.0
joint_pair,S5_M14,Thumb MCP,302.08,313.77,11.689999999999998,2365.0,1752.0,-19.412724306688418,25.0
joint_pair,S4_M13,Thumb DIP,98.26,212.78,114.52,3163.0,2053.0,-0.0,90.0
