t_rel,cmd_0,cmd_1,cmd_2,cmd_3,cmd_4,cmd_5,cmd_6,cmd_7,cmd_8,cmd_9,cmd_10,cmd_11,cmd_12,cmd_13,cmd_14,cmd_15,act_0,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8,act_9,act_10,act_11,act_12,act_13,act_14,act_15,ang_cmd_0,ang_cmd_1,ang_cmd_2,ang_cmd_3,ang_cmd_4,ang_cmd_5,ang_cmd_6,ang_cmd_7,ang_cmd_8,ang_cmd_9,ang_cmd_10,ang_cmd_11,ang_cmd_12,ang_cmd_13,ang_cmd_14,ang_cmd_15,ang_act_0,ang_act_1,ang_act_2,ang_act_3,ang_act_4,ang_act_5,ang_act_6,ang_act_7,ang_act_8,ang_act_9,ang_act_10,ang_act_11,ang_act_12,ang_act_13,ang_act_14,ang_act_15,sensor_t_rel,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,deg_0,deg_1,deg_2,deg_3,deg_4,deg_5,deg_6
1.569604,2494,2864,1852,1890,3656,1744,3816,1796,1590,1208,1041,1395,3250,2153,2000,1851,2495,2864,1865,1890,3678,1742,3817,1797,1591,1207,1030,1395,3250,2154,2000,1851,112.4701,38.9500,85.1906,13.4000,-203.7966,-15.2653,-94.0000,1.8400,87.5598,-94.0366,-197.6856,54.3750,-277.1178,-10.1077,0.6250,60.1333,112.3506,38.9500,83.9518,13.4000,-207.1525,-15.4388,-94.0714,1.8800,87.4163,-94.1227,-199.1266,54.3750,-277.1178,-10.2462,0.6250,60.1333,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.643702,2493,2864,1840,1890,3635,1747,3816,1796,1590,1210,1054,1395,3250,2153,2000,1851,2494,2864,1853,1890,3660,1742,3817,1797,1591,1207,1042,1395,3250,2154,2000,1851,112.5896,38.9500,86.3341,13.4000,-200.5932,-15.0051,-94.0000,1.8400,87.5598,-93.8644,-195.9825,54.3750,-277.1178,-10.1077,0.6250,60.1333,112.4701,38.9500,85.0953,13.4000,-204.4068,-15.4388,-94.0714,1.8800,87.4163,-94.1227,-197.5546,54.3750,-277.1178,-10.2462,0.6250,60.1333,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.723665,2492,2864,1828,1890,3614,1750,3816,1796,1590,1211,1067,1395,3250,2153,2000,1851,2494,2864,1839,1890,3639,1745,3817,1797,1591,1210,1054,1395,3250,2154,2000,1851,112.7092,38.9500,87.4776,13.4000,-197.3898,-14.7449,-94.0000,1.8400,87.5598,-93.7783,-194.2795,54.3750,-277.1178,-10.1077,0.6250,60.1333,112.4701,38.9500,86.4294,13.4000,-201.2034,-15.1786,-94.0714,1.8800,87.4163,-93.8644,-195.9825,54.3750,-277.1178,-10.2462,0.6250,60.1333,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.803453,2491,2864,1815,1890,3593,1752,3816,1796,1590,1213,1080,1395,3250,2153,2000,1851,2494,2864,1827,1890,3618,1745,3817,1797,1591,1210,1064,1395,3250,2154,2000,1851,112.8287,38.9500,88.7164,13.4000,-194.1864,-14.5714,-94.0000,1.8400,87.5598,-93.6060,-192.5764,54.3750,-277.1178,-10.1077,0.6250,60.1333,112.4701,38.9500,87.5729,13.4000,-198.0000,-15.1786,-94.0714,1.8800,87.4163,-93.8644,-194.6725,54.3750,-277.1178,-10.2462,0.6250,60.1333,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.883368,2490,2864,1803,1890,3572,1755,3816,1796,1590,1215,1093,1395,3250,2153,2000,1851,2492,2864,1815,1890,3594,1749,3817,1797,1591,1211,1071,1395,3250,2154,2000,1851,112.9482,38.9500,89.8599,13.4000,-190.9831,-14.3112,-94.0000,1.8400,87.5598,-93.4338,-190.8734,54.3750,-277.1178,-10.1077,0.6250,60.1333,112.7092,38.9500,88.7164,13.4000,-194.3390,-14.8316,-94.0714,1.8800,87.4163,-93.7783,-193.7555,54.3750,-277.1178,-10.2462,0.6250,60.1333,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.963639,2489,2864,1791,1890,3551,1758,3815,1796,1590,1216,1106,1395,3250,2153,2000,1851,2492,2864,1803,1890,3572,1750,3817,1797,1591,1212,1079,1395,3250,2154,2000,1851,113.0677,38.9500,91.0034,13.4000,-187.7797,-14.0510,-93.9286,1.8400,87.5598,-93.3477,-189.1703,54.3750,-277.1178,-10.1077,0.6250,60.1333,112.7092,38.9500,89.8599,13.4000,-190.9831,-14.7449,-94.0714,1.8800,87.4163,-93.6921,-192.7074,54.3750,-277.1178,-10.2462,0.6250,60.1333,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.043604,2488,2864,1778,1890,3530,1761,3815,1796,1590,1218,1118,1395,3250,2153,2000,1851,2490,2864,1792,1890,3555,1755,3817,1797,1591,1214,1089,1395,3250,2154,2000,1851,113.1873,38.9500,92.2422,13.4000,-184.5763,-13.7908,-93.9286,1.8400,87.5598,-93.1755,-187.5983,54.3750,-277.1178,-10.1077,0.6250,60.1333,112.9482,38.9500,90.9081,13.4000,-188.3898,-14.3112,-94.0714,1.8800,87.4163,-93.5199,-191.3974,54.3750,-277.1178,-10.2462,0.6250,60.1333,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.123643,2487,2864,1766,1890,3509,1763,3815,1796,1590,1220,1131,1396,3250,2153,2000,1851,2489,2864,1780,1890,3537,1756,3817,1797,1591,1215,1098,1396,3250,2154,2000,1851,113.3068,38.9500,93.3857,13.4000,-181.3729,-13.6173,-93.9286,1.8400,87.5598,-93.0032,-185.8952,54.0000,-277.1178,-10.1077,0.6250,60.1333,113.0677,38.9500,92.0516,13.4000,-185.6441,-14.2245,-94.0714,1.8800,87.4163,-93.4338,-190.2183,54.0000,-277.1178,-10.2462,0.6250,60.1333,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.203507,2486,2864,1754,1890,3488,1766,3815,1796,1590,1221,1144,1396,3250,2153,2000,1851,2489,2864,1770,1890,3517,1760,3817,1797,1591,1216,1112,1396,3250,2154,2000,1851,113.4263,38.9500,94.5291,13.4000,-178.1695,-13.3571,-93.9286,1.8400,87.5598,-92.9171,-184.1921,54.0000,-277.1178,-10.1077,0.6250,60.1333,113.0677,38.9500,93.0045,13.4000,-182.5932,-13.8776,-94.0714,1.8800,87.4163,-93.3477,-188.3843,54.0000,-277.1178,-10.2462,0.6250,60.1333,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.283417,2485,2864,1741,1890,3467,1769,3815,1796,1590,1223,1157,1396,3250,2152,2000,1851,2487,2864,1760,1890,3500,1761,3817,1797,1591,1217,1122,1396,3250,2154,2000,1851,113.5458,38.9500,95.7679,13.4000,-174.9661,-13.0969,-93.9286,1.8400,87.5598,-92.7449,-182.4891,54.0000,-277.1178,-9.9692,0.6250,60.1333,113.3068,38.9500,93.9574,13.4000,-180.0000,-13.7908,-94.0714,1.8800,87.4163,-93.2616,-187.0742,54.0000,-277.1178,-10.2462,0.6250,60.1333,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
