t_rel,cmd_0,cmd_1,cmd_2,cmd_3,cmd_4,cmd_5,cmd_6,cmd_7,cmd_8,cmd_9,cmd_10,cmd_11,cmd_12,cmd_13,cmd_14,cmd_15,act_0,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8,act_9,act_10,act_11,act_12,act_13,act_14,act_15
0.0003859996795654297,3561,3081,2252,1793,3409,844,2394,1641,702,854,230,775,2704,2135,2000,1847,3561,3070,2252,1789,3410,844,2343,1641,589,855,230,767,2572,2122,2000,1846
0.35896825790405273,3560,3061,2251,1792,3409,843,2374,1641,626,853,230,778,2573,2127,2000,1850,3561,3069,2252,1789,3410,843,2343,1641,589,855,230,757,2566,2105,2000,1846
0.4968690872192383,3560,3053,2251,1796,3409,843,2405,1641,663,853,230,809,2611,2158,2000,1850,3561,3067,2252,1791,3410,844,2343,1641,610,855,230,773,2604,2121,2000,1846
0.5792248249053955,3560,3044,2251,1800,3409,843,2436,1641,700,853,230,840,2648,2189,2000,1850,3561,3053,2251,1798,3409,845,2343,1641,666,854,230,812,2649,2165,2000,1847
0.673907995223999,3560,3032,2251,1806,3409,844,2482,1641,755,853,230,886,2704,2236,2000,1850,3561,3035,2250,1809,3408,846,2370,1641,738,854,230,863,2720,2214,2000,1849
0.7922024726867676,3560,3019,2250,1813,3409,844,2528,1641,810,853,230,932,2761,2283,2000,1850,3561,3028,2250,1810,3408,846,2401,1641,769,854,230,906,2764,2257,2000,1850
0.8822047710418701,3560,3011,2250,1817,3409,844,2559,1641,847,853,230,962,2798,2314,2000,1850,3561,3015,2249,1816,3408,846,2447,1642,796,854,230,942,2788,2294,2000,1851
0.9634041786193848,3560,3002,2250,1821,3409,844,2590,1641,883,853,230,993,2836,2345,2000,1850,3561,3007,2249,1818,3408,847,2492,1643,837,854,230,976,2835,2329,2000,1852
1.0492744445800781,3560,2985,2249,1830,3408,845,2651,1641,957,853,230,1054,2911,2407,2000,1850,3561,2989,2249,1828,3409,848,2556,1643,940,854,230,1039,2930,2392,2000,1852
1.1681787967681885,3560,2973,2249,1836,3408,845,2697,1641,1012,853,230,1100,2967,2454,2000,1850,3561,2974,2246,1838,3409,848,2626,1643,1005,854,230,1091,2973,2445,2000,1852
1.268218755722046,3559,2956,2249,1844,3408,846,2759,1641,1085,853,230,1162,3042,2516,2000,1850,3561,2959,2244,1844,3409,848,2695,1643,1082,854,230,1148,3049,2502,2000,1852
1.3811662197113037,3559,2943,2248,1851,3408,846,2805,1641,1141,853,230,1208,3098,2563,2000,1850,3560,2948,2244,1850,3409,849,2749,1644,1102,854,230,1201,3088,2552,2000,1851
1.4777412414550781,3559,2935,2248,1855,3408,846,2836,1641,1177,853,230,1239,3136,2594,2000,1850,3560,2938,2245,1853,3409,849,2801,1644,1144,854,230,1240,3133,2592,2000,1852
1.5699350833892822,3559,2918,2248,1863,3407,847,2897,1641,1251,853,230,1300,3211,2657,2000,1850,3560,2921,2245,1863,3408,850,2847,1645,1223,854,230,1291,3224,2646,2000,1851
1.6824429035186768,3559,2893,2247,1876,3407,848,2990,1641,1361,853,230,1392,3323,2750,2000,1850,3560,2899,2245,1875,3408,851,2940,1645,1355,854,230,1385,3343,2740,2000,1851
1.8247909545898438,3559,2864,2247,1891,3407,849,3098,1641,1490,853,230,1500,3455,2860,2000,1850,3560,2868,2245,1887,3407,851,3061,1645,1498,854,230,1503,3495,2859,2000,1851
1.9759564399719238,3559,2864,2247,1891,3407,849,3098,1641,1490,853,230,1500,3455,2860,2000,1850,3560,2864,2245,1891,3407,851,3111,1645,1480,854,230,1531,3463,2886,2000,1851
2.101933002471924,3559,2864,2247,1891,3407,849,3098,1641,1490,853,230,1500,3455,2860,2000,1850,3560,2864,2245,1891,3407,851,3111,1645,1483,854,230,1521,3457,2884,2000,1851
2.22784423828125,3559,2864,2247,1891,3407,849,3098,1641,1490,853,230,1500,3455,2860,2000,1850,3560,2864,2245,1891,3407,851,3111,1645,1485,854,230,1513,3457,2877,2000,1852
2.374767541885376,3559,2864,2247,1891,3407,849,3098,1641,1490,853,230,1500,3455,2860,2000,1850,3560,2864,2245,1891,3407,851,3108,1645,1485,854,230,1510,3457,2873,2000,1851
2.4979066848754883,3559,2864,2247,1891,3407,849,3098,1641,1490,853,230,1500,3455,2860,2000,1850,3560,2864,2245,1891,3407,851,3107,1646,1485,854,230,1509,3457,2871,2000,1851
2.6302692890167236,3559,2864,2247,1891,3407,849,3098,1641,1490,853,230,1500,3455,2860,2000,1850,3560,2864,2246,1891,3407,851,3107,1645,1486,854,230,1507,3457,2868,2000,1851
2.768735408782959,3559,2864,2247,1891,3407,849,3098,1641,1490,853,230,1500,3455,2860,2000,1850,3560,2864,2247,1891,3407,851,3107,1646,1487,854,230,1506,3457,2868,2000,1851
