t_rel,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,deg_0,deg_1,deg_2,deg_3,deg_4,deg_5,deg_6
0.0003859996795654297,-1,-1,-1,-1,-1,-1,-1,80.07,252.16,35.33,81.3,102.04,173.32,48.25
0.35896825790405273,-1,-1,-1,-1,-1,-1,-1,79.01,247.68,85.43,67.15,135.53,145.46,74.44
0.4968690872192383,-1,-1,-1,-1,-1,-1,-1,83.76,247.68,79.45,65.74,143.79,142.56,67.15
0.5792248249053955,-1,-1,-1,-1,-1,-1,-1,83.41,247.76,79.54,65.65,143.79,142.47,67.15
0.673907995223999,-1,-1,-1,-1,-1,-1,-1,83.41,247.76,79.45,65.65,143.7,142.03,67.06
0.7922024726867676,-1,-1,-1,-1,-1,-1,-1,83.41,247.85,79.45,65.57,143.79,142.47,66.97
0.8822047710418701,-1,-1,-1,-1,-1,-1,-1,82.18,247.5,81.47,64.86,143.88,143.17,66.88
0.9634041786193848,-1,-1,-1,-1,-1,-1,-1,81.04,247.41,85.08,64.78,139.75,144.67,63.81
1.0492744445800781,-1,-1,-1,-1,-1,-1,-1,81.04,247.5,84.37,65.65,134.03,151.96,58.97
1.1681787967681885,-1,-1,-1,-1,-1,-1,-1,80.68,247.85,78.66,66.62,129.46,159.87,52.03
1.268218755722046,-1,-1,-1,-1,-1,-1,-1,80.16,248.47,66.09,71.1,121.29,168.22,50.71
1.3811662197113037,-1,-1,-1,-1,-1,-1,-1,80.24,249.7,56.07,75.23,117.33,169.89,49.75
1.4777412414550781,-1,-1,-1,-1,-1,-1,-1,80.07,251.19,43.59,79.37,110.39,172.44,47.46
1.5699350833892822,-1,-1,-1,-1,-1,-1,-1,80.07,251.98,39.11,80.16,106.79,173.23,47.9
1.6824429035186768,-1,-1,-1,-1,-1,-1,-1,79.8,252.33,34.28,80.6,102.13,173.41,49.48
1.8247909545898438,-1,-1,-1,-1,-1,-1,-1,80.07,252.33,33.13,80.68,101.95,173.41,49.48
1.9759564399719238,-1,-1,-1,-1,-1,-1,-1,80.07,252.33,32.96,80.6,101.95,173.41,49.48
2.101933002471924,-1,-1,-1,-1,-1,-1,-1,80.07,252.33,32.96,80.68,101.95,173.5,49.39
2.22784423828125,-1,-1,-1,-1,-1,-1,-1,80.07,252.33,32.87,80.68,101.95,173.41,49.48
2.374767541885376,-1,-1,-1,-1,-1,-1,-1,80.07,252.33,32.96,80.68,101.95,173.41,49.39
2.4979066848754883,-1,-1,-1,-1,-1,-1,-1,80.07,252.33,32.96,80.68,101.95,173.41,49.39
2.6302692890167236,-1,-1,-1,-1,-1,-1,-1,79.98,252.33,32.96,80.68,101.95,173.5,49.31
2.768735408782959,-1,-1,-1,-1,-1,-1,-1,80.07,252.33,32.87,80.68,101.95,173.5,49.39
2.9132649898529053,-1,-1,-1,-1,-1,-1,-1,80.07,252.33,32.96,80.68,101.95,173.41,49.31
3.0574188232421875,-1,-1,-1,-1,-1,-1,-1,80.07,252.33,32.87,80.68,101.95,173.41,49.31
3.1758525371551514,-1,-1,-1,-1,-1,-1,-1,80.07,252.33,32.61,80.68,101.95,173.41,49.39
3.312864303588867,-1,-1,-1,-1,-1,-1,-1,80.16,252.33,32.26,80.68,101.87,173.41,49.39
3.441713571548462,-1,-1,-1,-1,-1,-1,-1,80.68,252.25,33.57,80.68,103.89,173.76,47.9
3.588209867477417,-1,-1,-1,-1,-1,-1,-1,79.89,251.63,38.94,79.28,111.18,174.37,46.41
3.7145321369171143,-1,-1,-1,-1,-1,-1,-1,79.1,251.37,43.42,78.31,117.77,173.58,45.44
3.861943006515503,-1,-1,-1,-1,-1,-1,-1,79.1,250.31,51.86,75.67,126.47,170.24,48.52
3.9875504970550537,-1,-1,-1,-1,-1,-1,-1,79.1,249.26,61.44,72.25,134.82,165.94,49.31
4.1201722621917725,-1,-1,-1,-1,-1,-1,-1,79.19,248.2,79.37,65.83,144.4,155.13,55.72
4.260993957519531,-1,-1,-1,-1,-1,-1,-1,78.84,247.76,88.15,64.34,154.51,146.95,62.75
4.389375686645508,-1,-1,-1,-1,-1,-1,-1,78.84,247.85,87.89,64.25,154.51,146.95,62.93
4.534357070922852,-1,-1,-1,-1,-1,-1,-1,78.93,247.85,87.8,64.25,154.42,146.87,62.93
4.6656787395477295,-1,-1,-1,-1,-1,-1,-1,78.84,247.85,87.89,64.34,154.51,146.87,62.93
4.808155536651611,-1,-1,-1,-1,-1,-1,-1,78.84,247.85,87.98,64.34,154.51,146.95,63.02
4.9482293128967285,-1,-1,-1,-1,-1,-1,-1,78.93,247.85,87.89,64.34,154.42,146.78,63.02
5.073430061340332,-1,-1,-1,-1,-1,-1,-1,78.93,247.85,87.89,64.34,154.51,146.78,62.93
5.20401930809021,-1,-1,-1,-1,-1,-1,-1,78.84,247.85,87.89,64.34,154.51,146.87,62.93
5.34507417678833,-1,-1,-1,-1,-1,-1,-1,78.93,247.85,87.98,64.07,154.16,147.39,62.84
5.474985837936401,-1,-1,-1,-1,-1,-1,-1,79.54,248.2,88.07,64.16,142.65,147.66,63.19
5.6041083335876465,-1,-1,-1,-1,-1,-1,-1,79.54,248.29,89.47,67.15,133.95,156.09,54.93
5.7624475955963135,-1,-1,-1,-1,-1,-1,-1,79.54,248.38,82.0,71.63,124.1,166.55,50.63
5.891399145126343,-1,-1,-1,-1,-1,-1,-1,79.19,248.73,73.56,74.09,119.09,168.31,48.87
6.010253667831421,-1,-1,-1,-1,-1,-1,-1,78.93,249.43,58.62,76.55,113.55,171.12,46.23
6.161074638366699,-1,-1,-1,-1,-1,-1,-1,79.1,250.93,46.14,79.89,107.67,172.97,47.2
6.276524543762207,-1,-1,-1,-1,-1,-1,-1,79.37,252.07,40.43,81.21,103.97,173.41,47.64
