t_rel,cmd_0,cmd_1,cmd_2,cmd_3,cmd_4,cmd_5,cmd_6,cmd_7,cmd_8,cmd_9,cmd_10,cmd_11,cmd_12,cmd_13,cmd_14,cmd_15,act_0,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8,act_9,act_10,act_11,act_12,act_13,act_14,act_15,ang_cmd_0,ang_cmd_1,ang_cmd_2,ang_cmd_3,ang_cmd_4,ang_cmd_5,ang_cmd_6,ang_cmd_7,ang_cmd_8,ang_cmd_9,ang_cmd_10,ang_cmd_11,ang_cmd_12,ang_cmd_13,ang_cmd_14,ang_cmd_15,ang_act_0,ang_act_1,ang_act_2,ang_act_3,ang_act_4,ang_act_5,ang_act_6,ang_act_7,ang_act_8,ang_act_9,ang_act_10,ang_act_11,ang_act_12,ang_act_13,ang_act_14,ang_act_15,sensor_t_rel,raw_0,raw_1,raw_2,deg_0,deg_1,deg_2
1.567628,2658,2913,1699,1818,3558,1143,3811,1772,1437,1202,878,1324,3374,2387,2064,1670,2664,2915,1708,1817,3577,1125,3812,1775,1433,1201,865,1322,3380,2394,2065,1667,92.8685,41.4000,99.7702,15.2000,-188.8475,-67.3929,-93.6429,0.8800,109.5215,-94.5533,-219.0393,81.0000,-295.6921,-42.5077,4.6250,36.0000,92.1514,41.5000,98.9126,15.2250,-191.7458,-68.9541,-93.7143,1.0000,110.0957,-94.6394,-220.7424,81.7500,-296.5909,-43.4769,4.6875,35.6000,nan,nan,nan,nan,nan,nan,nan
1.641891,2653,2912,1691,1820,3540,1162,3811,1769,1441,1204,893,1326,3353,2381,2062,1675,2660,2913,1701,1818,3560,1140,3812,1774,1436,1201,881,1325,3356,2390,2062,1674,93.4661,41.3500,100.5325,15.1500,-186.1017,-65.7449,-93.6429,0.7600,108.9474,-94.3811,-217.0742,80.2500,-292.5465,-41.6769,4.5000,36.6667,92.6295,41.4000,99.5796,15.2000,-189.1525,-67.6531,-93.7143,0.9600,109.6651,-94.6394,-218.6463,80.6250,-292.9959,-42.9231,4.5000,36.5333,nan,nan,nan,nan,nan,nan,nan
1.721627,2647,2911,1683,1822,3521,1180,3811,1767,1445,1206,907,1328,3332,2375,2060,1680,2656,2912,1693,1820,3543,1157,3812,1769,1440,1201,897,1329,3336,2382,2061,1679,94.1833,41.3000,101.2948,15.1000,-183.2034,-64.1837,-93.6429,0.6800,108.3732,-94.2088,-215.2402,79.5000,-289.4008,-40.8462,4.3750,37.3333,93.1076,41.3500,100.3419,15.1500,-186.5593,-66.1786,-93.7143,0.7600,109.0909,-94.6394,-216.5502,79.1250,-290.0000,-41.8154,4.4375,37.2000,nan,nan,nan,nan,nan,nan,nan
1.802061,2642,2909,1674,1824,3503,1199,3811,1764,1449,1208,922,1330,3311,2368,2059,1684,2651,2911,1686,1821,3523,1173,3812,1769,1444,1202,907,1330,3316,2375,2059,1683,94.7809,41.2000,102.1525,15.0500,-180.4576,-62.5357,-93.6429,0.5600,107.7990,-94.0366,-213.2751,78.7500,-286.2552,-39.8769,4.3125,37.8667,93.7052,41.3000,101.0090,15.1250,-183.5085,-64.7908,-93.7143,0.7600,108.5167,-94.5533,-215.2402,78.7500,-287.0041,-40.8462,4.3125,37.7333,nan,nan,nan,nan,nan,nan,nan
1.881904,2637,2908,1666,1826,3484,1217,3811,1762,1453,1209,936,1332,3290,2362,2057,1689,2647,2909,1677,1823,3504,1191,3812,1769,1447,1203,917,1330,3295,2366,2057,1688,95.3785,41.1500,102.9148,15.0000,-177.5593,-60.9745,-93.6429,0.4800,107.2249,-93.9505,-211.4410,78.0000,-283.1095,-39.0462,4.1875,38.5333,94.1833,41.2000,101.8666,15.0750,-180.6102,-63.2296,-93.7143,0.7600,108.0861,-94.4672,-213.9301,78.7500,-283.8585,-39.6000,4.1875,38.4000,nan,nan,nan,nan,nan,nan,nan
1.961655,2631,2907,1658,1828,3466,1236,3811,1759,1457,1211,951,1334,3269,2356,2055,1694,2643,2908,1670,1826,3484,1207,3812,1767,1451,1205,928,1333,3274,2359,2056,1692,96.0956,41.1000,103.6771,14.9500,-174.8136,-59.3265,-93.6429,0.3600,106.6507,-93.7783,-209.4760,77.2500,-279.9638,-38.2154,4.0625,39.2000,94.6614,41.1500,102.5336,15.0000,-177.5593,-61.8418,-93.7143,0.6800,107.5120,-94.2949,-212.4891,77.6250,-280.7128,-38.6308,4.1250,38.9333,nan,nan,nan,nan,nan,nan,nan
2.041824,2626,2905,1649,1830,3447,1254,3811,1757,1461,1213,965,1336,3248,2350,2054,1699,2638,2907,1662,1828,3470,1225,3812,1761,1454,1206,935,1336,3253,2353,2054,1697,96.6932,41.0000,104.5348,14.9000,-171.9153,-57.7653,-93.6429,0.2800,106.0766,-93.6060,-207.6419,76.5000,-276.8182,-37.3846,4.0000,39.8667,95.2590,41.1000,103.2960,14.9500,-175.4237,-60.2806,-93.7143,0.4400,107.0813,-94.2088,-211.5721,76.5000,-277.5671,-37.8000,4.0000,39.6000,nan,nan,nan,nan,nan,nan,nan
2.121754,2621,2904,1641,1832,3429,1273,3811,1754,1465,1215,980,1338,3227,2343,2052,1703,2633,2905,1654,1830,3453,1242,3812,1757,1458,1206,946,1338,3231,2346,2052,1702,97.2908,40.9500,105.2971,14.8500,-169.1695,-56.1173,-93.6429,0.1600,105.5024,-93.4338,-205.6769,75.7500,-273.6725,-36.4154,3.8750,40.4000,95.8566,41.0000,104.0583,14.9000,-172.8305,-58.8061,-93.7143,0.2800,106.5072,-94.2088,-210.1310,75.7500,-274.2717,-36.8308,3.8750,40.2667,nan,nan,nan,nan,nan,nan,nan
2.201605,2615,2903,1633,1834,3410,1292,3811,1752,1469,1217,994,1340,3206,2337,2050,1708,2630,2904,1649,1832,3438,1261,3812,1757,1463,1206,948,1340,3211,2339,2051,1707,98.0080,40.9000,106.0594,14.8000,-166.2712,-54.4694,-93.6429,0.0800,104.9282,-93.2616,-203.8428,75.0000,-270.5269,-35.5846,3.7500,41.0667,96.2151,40.9500,104.5348,14.8500,-170.5424,-57.1582,-93.7143,0.2800,105.7895,-94.2088,-209.8690,75.0000,-271.2758,-35.8615,3.8125,40.9333,nan,nan,nan,nan,nan,nan,nan
2.281793,2610,2901,1624,1835,3392,1310,3811,1749,1473,1218,1009,1342,3185,2331,2049,1713,2625,2903,1641,1834,3421,1279,3812,1757,1466,1210,972,1341,3191,2332,2049,1711,98.6056,40.8000,106.9170,14.7750,-163.5254,-52.9082,-93.6429,-0.0400,104.3541,-93.1755,-201.8777,74.2500,-267.3812,-34.7538,3.6875,41.7333,96.8127,40.9000,105.2971,14.8000,-167.9492,-55.5969,-93.7143,0.2800,105.3589,-93.8644,-206.7249,74.6250,-268.2800,-34.8923,3.6875,41.4667,nan,nan,nan,nan,nan,nan,nan
