t_rel,cmd_0,cmd_1,cmd_2,cmd_3,cmd_4,cmd_5,cmd_6,cmd_7,cmd_8,cmd_9,cmd_10,cmd_11,cmd_12,cmd_13,cmd_14,cmd_15,act_0,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8,act_9,act_10,act_11,act_12,act_13,act_14,act_15
1.5548210144042969,2497,2864,1789,1890,3742,1610,3823,1797,1597,1285,939,1394,3250,2165,2000,1849,2499,2865,1800,1890,3766,1604,3824,1798,1598,1286,926,1394,3250,2166,2000,1849
1.628833293914795,2496,2864,1778,1890,3719,1616,3823,1797,1597,1285,955,1394,3250,2165,2000,1849,2498,2864,1792,1890,3740,1607,3824,1799,1598,1286,942,1394,3250,2166,2000,1849
1.708761215209961,2495,2864,1768,1890,3696,1622,3822,1797,1597,1284,970,1394,3250,2164,2000,1849,2498,2864,1782,1890,3717,1610,3824,1798,1598,1286,958,1394,3250,2166,2000,1849
1.7889955043792725,2494,2864,1757,1890,3672,1629,3822,1797,1597,1284,986,1394,3250,2164,2000,1849,2496,2864,1773,1890,3698,1616,3824,1799,1598,1286,966,1394,3249,2166,2000,1849
1.868704080581665,2493,2864,1746,1890,3649,1635,3822,1797,1596,1284,1001,1394,3250,2163,2000,1849,2495,2864,1762,1890,3675,1621,3824,1799,1598,1286,979,1394,3250,2165,2000,1849
1.9487431049346924,2492,2864,1736,1890,3626,1641,3821,1797,1596,1283,1017,1394,3250,2163,2000,1849,2494,2864,1751,1890,3651,1627,3824,1799,1596,1285,991,1394,3250,2165,2000,1849
2.028667449951172,2491,2864,1725,1890,3602,1647,3821,1797,1596,1283,1032,1395,3250,2163,2000,1849,2494,2864,1742,1890,3626,1632,3824,1799,1597,1283,1000,1394,3251,2165,2000,1849
2.09275221824646,2489,2864,1714,1890,3579,1654,3821,1797,1596,1282,1048,1395,3250,2162,2000,1849,2492,2864,1733,1890,3597,1639,3824,1798,1597,1282,1008,1395,3250,2166,2000,1849
2.1726841926574707,2488,2864,1704,1890,3556,1660,3820,1797,1596,1282,1063,1395,3250,2162,2000,1849,2489,2864,1722,1890,3580,1648,3824,1798,1597,1282,1009,1396,3250,2165,2000,1849
2.2526605129241943,2487,2864,1693,1890,3532,1666,3820,1797,1595,1282,1079,1395,3250,2161,2000,1849,2489,2864,1714,1890,3562,1650,3824,1798,1597,1282,1038,1395,3250,2165,2000,1848
2.332679271697998,2486,2864,1682,1890,3509,1673,3820,1797,1595,1281,1094,1395,3250,2161,2000,1849,2489,2864,1705,1890,3542,1659,3824,1798,1596,1281,1048,1395,3250,2165,2000,1848
2.4127004146575928,2485,2864,1672,1890,3486,1679,3819,1797,1595,1281,1110,1395,3250,2161,2000,1849,2487,2864,1698,1890,3521,1665,3824,1798,1596,1281,1048,1396,3250,2165,2000,1849
2.492708206176758,2484,2864,1661,1890,3463,1685,3819,1797,1595,1281,1126,1396,3250,2160,2000,1849,2486,2864,1690,1890,3503,1671,3824,1799,1596,1279,1048,1396,3250,2165,2000,1848
